id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
142,Allanson,,WA,Western Australia,6225,Urban locality,-33.33753,116.09806,191,627,32448,24.79600,Collie (Shire),Bunbury,Australia/Perth
143,Allawah,Sydney,NSW,New South Wales,2218,Suburb,-33.97002,151.11452,55,5706,31928,0.58400,Georges River (Area),Sydney - Inner South West,Australia/Sydney
144,Alleena,,NSW,New South Wales,2671,Rural locality,-34.10946,147.14097,284,61,23400,269.63300,Bland (Area),Central West,Australia/Sydney
145,Allenby Gardens,Adelaide,SA,South Australia,5009,Suburb,-34.90433,138.55515,18,1868,34580,0.82600,Charles Sturt (City),Adelaide - West,Australia/Adelaide
146,Allendale,,VIC,Victoria,3364,Rural locality,-37.36871,143.93855,479,166,36036,14.23800,Hepburn (Shire),Ballarat,Australia/Melbourne
147,Allendale East,,SA,South Australia,5291,Urban locality,-38.00337,140.70894,16,472,30940,50.11700,Grant (District Council),South Australia - South East,Australia/Adelaide
148,Allendale North,,SA,South Australia,5373,Rural locality,-34.30398,138.91766,277,147,27924,46.95500,Light (Regional Council),Barossa - Yorke - Mid North,Australia/Adelaide
149,Allens Rivulet,,TAS,Tasmania,7150,Rural locality,-43.01068,147.20406,148,487,37544,11.97200,Kingborough (Municipality),Hobart,Australia/Hobart
150,Allenstown,Rockhampton,QLD,Queensland,4700,Suburb,-23.38894,150.50287,13,2790,27612,2.22900,Rockhampton (Regional Council),Central Queensland,Australia/Brisbane
151,Allenview,,QLD,Queensland,4285,Rural locality,-27.90126,152.93908,36,184,33176,43.49400,Scenic Rim (Regional Council),Logan - Beaudesert,Australia/Brisbane
152,Allestree,,VIC,Victoria,3305,Rural locality,-38.27035,141.65616,10,128,25012,7.96000,Glenelg (Shire),Warrnambool and South West,Australia/Melbourne
153,Allgomera,,NSW,New South Wales,2441,Rural locality,-30.81610,152.83137,51,131,24908,120.38800,Nambucca Valley (Area),Mid North Coast,Australia/Sydney
154,Alligator Creek,,QLD,Queensland,4740,Rural locality,-21.32393,149.21106,16,791,37284,78.03000,Mackay (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
155,Alligator Creek,,QLD,Queensland,4816,Urban locality,-19.42492,146.94720,26,1353,44876,49.40200,Townsville (City),Townsville,Australia/Brisbane
156,Allora,,QLD,Queensland,4362,Urban locality,-28.03585,151.98272,473,1223,25064,96.47300,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
